copyright,falsePositive
Copyrights for code taken from ext2:,1
"copyright notice, this list of conditions and the following",1
"copyright notice, this list of conditions and the following disclaimer",1
"Parts derived from drivers/block/rd.c, and drivers/block/loop.c, copyright",1
Original copyright notice follows:,1
* Redistributions of source code must retain the above copyright,1
THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS,1
A PARTICULAR PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT,1
Redistributions of source code must retain the above copyright,1
Redistributions in binary form must reproduce the above copyright,1
Based on wdt.c. Original copyright messages:,1
The above copyright notice and this permission notice shall be included in,1
"AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER",1
"This copyrighted material is made available to anyone wishing to use,",1
1. Redistributions of source code must retain the above copyright,1
2. Redistributions in binary form must reproduce the above copyright,1
COPYRIGHT AND PERMISSION NOTICE,1
the Terms of Use in http://www.unicode.org/copyright.html.,1
"so, provided that (a) the above copyright notice(s) and this permission",1
above copyright notice(s) and this permission notice appear in associated,1
"documentation, and (c) there is clear notice in each modified Data File or",1
THIRD PARTY RIGHTS.  IN NO EVENT SHALL THE COPYRIGHT HOLDER OR HOLDERS,1
"Except as contained in this notice, the name of a copyright holder shall",1
authorization of the copyright holder.,1
3. Neither the names of the above-listed copyright holders nor the names,1
NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT HOLDERS,1
"driver, which has the following copyright:",1
3. Neither the names of the copyright holders nor the names of its,1
"THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS ""AS IS""",1
ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT OWNER OR CONTRIBUTORS BE,1
* Redistributions in binary form must reproduce the above copyright,1
THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND,1
DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT OWNER OR,1
resend SDP command with clear pipe bit set,1
DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS FILE HEADER.,1
others.  All original copyrights apply as per the original source,1
The above copyright notice and this permission notice shall be included,1
IN NO EVENT SHALL THE COPYRIGHT HOLDER(S) AND AUTHOR(S) BE LIABLE FOR ANY,1
"COPYRIGHTS, TRADEMARKS OR OTHER RIGHTS, RELATING TO USE OF THIS",1
above copyright notice or any other identification of the,1
"without fee is hereby granted, provided that the above copyright",1
notice appear in all copies and that both that copyright notice and,1
"1. Redistributions of source code must retain the above copyright notice,",1
"COPYRIGHT HOLDER OR CONTRIBUTORS BE LIABLE FOR ANY DIRECT,",1
The above copyright notice and this permission notice (including the next,1
"THE AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER",1
following copyright:,1
others.  All original copyrights apply as per the original source,1
part of glibc and has appropriate copyrights in it (allegedly).,1
1. Redistributions of source code must retain the above copyright,1
3. Neither the names of the above-listed copyright holders nor the names,1
THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS,1
A PARTICULAR PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT,1
The above copyright notice and this permission notice shall be included in,1
"AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER",1
"copyright notice, this list of conditions and the following",1
NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT HOLDERS,1
The above copyright notice and this permission notice (including the next,1
provided that this copyright notice is,1
"Update: The Berkeley copyright was changed, and the change",1
the same license). The new copyright doesn't clash with the,1
2. Redistributions in binary form must reproduce the above copyright,1
provided that the above copyright notice and this paragraph are,1
"- copyright.xml (   1597 bytes, from 2016-10-29 07:29:22)",1
"copyright notice, this list of conditions and the following",1
copyright notice and this permission notice appear in all copies.,1
copyrights:,1
Copyright,1
1. Redistributions of source code must retain the above copyright,1
2. Redistributions in binary form must reproduce the above copyright,1
* Redistributions of source code must retain the above copyright,1
* Redistributions in binary form must reproduce the above copyright,1
THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS,1
A PARTICULAR PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT,1
Redistributions of source code must retain the above copyright,1
