file_path,copyright,falsePositive
kubernetes-master/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/apiextensions-apiserver/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/apimachinery/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/kube-scheduler/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/cluster-bootstrap/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/kubelet/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/component-base/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/apiserver/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/api/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/kube-controller-manager/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/dynamic-resource-allocation/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/code-generator/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/sample-controller/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/component-helpers/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/sample-cli-plugin/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/kube-aggregator/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/client-go/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/sample-apiserver/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/cli-runtime/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/staging/src/k8s.io/kube-proxy/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/LICENSES/third_party/forked/gotestsum/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/third_party/forked/gotestsum/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/pkg/v3/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/raft/v3/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/client/pkg/v3/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/client/v2/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/client/v3/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/server/v3/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/go.etcd.io/etcd/api/v3/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/cloud.google.com/go/compute/metadata/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/cloud.google.com/go/compute/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/k8s.io/utils/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/k8s.io/kube-openapi/pkg/validation/validate/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/k8s.io/kube-openapi/pkg/validation/errors/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
kubernetes-master/vendor/k8s.io/kube-openapi/pkg/validation/spec/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
