file_path,copyright,falsePositive
tensorflow-master/third_party/py/ml_dtypes/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/tensorflow/tsl/mkl/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/tensorflow/tsl/mkl/MKL_LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/third_party/gpus/cuda/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/third_party/gpus/crosstool/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/third_party/tensorrt/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/third_party/mkl_dnn/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/third_party/mkl_dnn/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,1
tensorflow-master/third_party/py/ml_dtypes/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/tensorflow/tsl/mkl/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/tensorflow/tsl/mkl/MKL_LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/third_party/gpus/cuda/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/third_party/gpus/crosstool/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/third_party/tensorrt/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/third_party/mkl_dnn/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/third_party/mkl_dnn/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",1
tensorflow-master/third_party/py/ml_dtypes/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/tensorflow/tsl/mkl/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/tensorflow/tsl/mkl/MKL_LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/third_party/gpus/cuda/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/third_party/gpus/crosstool/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/third_party/tensorrt/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/third_party/mkl_dnn/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/third_party/mkl_dnn/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",1
tensorflow-master/third_party/py/ml_dtypes/LICENSE,Copyright [yyyy] [name of copyright owner],1
tensorflow-master/LICENSE,Copyright [yyyy] [name of copyright owner],1
tensorflow-master/AUTHORS,copyright purposes. This file is distinct from the CONTRIBUTORS files. See the latter for an explanation.,1
tensorflow-master/tensorflow/python/ops/ragged/ragged_gather_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_conversion_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_tensor_value.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_tile_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_dispatch.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_array_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_reverse_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_where_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_to_sparse_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/strings_reduce_join_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_operators_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_from_sparse_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_batch_gather_with_default_op.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_batch_gather_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_map_flat_values_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_gather_nd_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_segment_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_stack_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/ragged/ragged_range_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/pfor.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/gradients_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/control_flow_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/control_flow_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/gradients.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/array_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/__init__.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/math_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/test_util.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/c_test.c,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/parallel_for/xla_control_flow_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/c_api_experimental.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/env_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/optional_grad.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/cond_v2.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/init_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/collective_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/list_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/env.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/map_fn.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/sparse_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/collective_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/cholesky_registrations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/matmul_registrations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_block_diag.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/kernels_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_algebra.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_circulant.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_inversion.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_adjoint.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/eager/c_api_experimental.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/eager/c_api_test_util.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_kronecker.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/inverse_registrations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/linalg/linear_operator_zeros.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/eager/c_api_debug_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/eager/c_api_test_util.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/python/ops/control_flow_util_v2.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/eager/c_api_experimental.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
tensorflow-master/tensorflow/c/eager/c_api_debug.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
