,file_path,copyright,falsePositive
0,kubernetes-master/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
1,kubernetes-master/staging/src/k8s.io/apiextensions-apiserver/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
2,kubernetes-master/staging/src/k8s.io/apimachinery/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
3,kubernetes-master/staging/src/k8s.io/kube-scheduler/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
4,kubernetes-master/staging/src/k8s.io/cluster-bootstrap/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
5,kubernetes-master/staging/src/k8s.io/kubelet/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
6,kubernetes-master/staging/src/k8s.io/component-base/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
7,kubernetes-master/staging/src/k8s.io/apiserver/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
8,kubernetes-master/staging/src/k8s.io/api/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
9,kubernetes-master/staging/src/k8s.io/kube-controller-manager/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
10,kubernetes-master/staging/src/k8s.io/dynamic-resource-allocation/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
11,kubernetes-master/staging/src/k8s.io/code-generator/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
12,kubernetes-master/staging/src/k8s.io/sample-controller/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
13,kubernetes-master/staging/src/k8s.io/component-helpers/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
14,kubernetes-master/staging/src/k8s.io/sample-cli-plugin/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
15,kubernetes-master/staging/src/k8s.io/kube-aggregator/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
16,kubernetes-master/staging/src/k8s.io/client-go/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
17,kubernetes-master/staging/src/k8s.io/sample-apiserver/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
