,file_path,copyright,falsePositive
0,tensorflow-master/third_party/py/ml_dtypes/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
1,tensorflow-master/tensorflow/tsl/mkl/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
2,tensorflow-master/tensorflow/tsl/mkl/MKL_LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
3,tensorflow-master/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
4,tensorflow-master/third_party/gpus/cuda/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
5,tensorflow-master/third_party/gpus/crosstool/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
6,tensorflow-master/third_party/tensorrt/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
7,tensorflow-master/third_party/mkl_dnn/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
8,tensorflow-master/third_party/mkl_dnn/LICENSE,copyright owner or by an individual or Legal Entity authorized to submit on behalf of,0
9,tensorflow-master/third_party/py/ml_dtypes/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
10,tensorflow-master/tensorflow/tsl/mkl/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
11,tensorflow-master/tensorflow/tsl/mkl/MKL_LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
12,tensorflow-master/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
13,tensorflow-master/third_party/gpus/cuda/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
14,tensorflow-master/third_party/gpus/crosstool/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
15,tensorflow-master/third_party/tensorrt/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
16,tensorflow-master/third_party/mkl_dnn/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
17,tensorflow-master/third_party/mkl_dnn/LICENSE,"(c) You must retain, in the Source form of any Derivative Works",0
18,tensorflow-master/third_party/py/ml_dtypes/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
19,tensorflow-master/tensorflow/tsl/mkl/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
20,tensorflow-master/tensorflow/tsl/mkl/MKL_LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
21,tensorflow-master/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
22,tensorflow-master/third_party/gpus/cuda/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
23,tensorflow-master/third_party/gpus/crosstool/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
24,tensorflow-master/third_party/tensorrt/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
25,tensorflow-master/third_party/mkl_dnn/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
26,tensorflow-master/third_party/mkl_dnn/LICENSE,"copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and",0
27,tensorflow-master/third_party/py/ml_dtypes/LICENSE,Copyright [yyyy] [name of copyright owner],0
28,tensorflow-master/LICENSE,Copyright [yyyy] [name of copyright owner],0
29,tensorflow-master/AUTHORS,copyright purposes. This file is distinct from the CONTRIBUTORS files. See the latter for an explanation.,0
30,tensorflow-master/tensorflow/python/ops/ragged/ragged_gather_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
31,tensorflow-master/tensorflow/python/ops/ragged/ragged_conversion_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
